12134829+1454016 183.45122 14.90047 265.43192 74.95978 7.000 -142 N
12340849+0239137 188.53540 2.65381 292.59647 65.17782 7.013 1736 N
03382978-2301396 54.62412 -23.02769 216.21198 -52.12049 7.016 1636 6
02273746-0109226 36.90609 -1.15628 168.57396 -55.26394 7.028 1340 6
04200041-5456161 65.00175 -54.93781 264.31015 -43.39325 7.034 1504 N
00545347-3741037 13.72283 -37.68438 299.20880 -79.41889 7.062 144 N
03482073+7007583 57.08638 70.13288 136.96951 12.24629 7.080 1200 N
05051445-3758507 76.31023 -37.98075 241.69556 -36.45276 7.081 1175 6
15062929+0136193 226.62206 1.60537 0.42558 48.79644 7.082 1630 C
12450867-0027428 191.28615 -0.46191 299.53802 62.36829 7.093 1523 6
12184962+1424593 184.70677 14.41649 270.43109 75.18974 7.097 2407 N
11165465+1803065 169.22774 18.05181 230.59984 66.42230 7.107 960 N
18485789-6510244 282.24118 -65.17344 330.33670 -24.19288 7.108 946 6
03261732-2120073 51.57217 -21.33537 212.18298 -54.36612 7.111 1570 6
12195066+2936529 184.96111 29.61470 191.39752 82.62107 7.117 930 N
22091625-4709599 332.31769 -47.16666 349.58853 -52.58009 7.120 1750 N
01214684+0515241 20.44520 5.25672 136.82056 -56.79452 7.122 2272 N
06183771+7821252 94.65713 78.35702 135.65346 24.89640 7.125 893 N
13195002-2724362 199.95851 -27.41009 310.63220 35.03671 7.128 2143 6
11573598+5322282 179.39993 53.37452 140.09178 61.92347 7.129 1048 N
08553773+7813230 133.90721 78.22308 134.92354 32.68859 7.132 1400 N
09102015+0702160 137.58397 7.03777 223.26611 33.98764 7.134 1350 N
12312403+2546299 187.85014 25.77498 228.59688 85.31576 7.138 1344 N
11113096+5540268 167.87903 55.67412 148.31456 56.25186 7.144 699 N
13132753+3635371 198.36473 36.59365 98.05843 79.44814 7.151 875 N
01364177+1547004 24.17405 15.78346 138.61697 -45.70535 7.162 657 N
04313953-5436081 67.91473 -54.60227 263.34348 -41.83446 7.164 1063 N
09113750+6002139 137.90627 60.03721 155.49481 40.56357 7.165 1373 N
11582056-5058377 179.58571 -50.97707 294.46249 11.01948 7.168 4229 6
16524632-5913009 253.19304 -59.21694 329.73874 -9.57260 7.176 1499 N
01341823-2925065 23.57598 -29.41849 229.07695 -80.29227 7.179 1481 N
00031494+1608428 0.81228 16.14523 106.40895 -45.17482 7.181 1059 S
13215765-3637487 200.49023 -36.63021 309.73163 25.83820 7.182 468 N
11534902+5219355 178.45428 52.32654 142.21779 62.59062 7.185 1052 N
13201692-2149392 200.07051 -21.82758 311.75320 40.54957 7.188 1659 6
12282963+1705058 187.12347 17.08495 273.91245 78.64216 7.198 1954 N
12290002+1358428 187.25011 13.97856 280.10791 75.84625 7.199 1210 N
01244770+0932196 21.19883 9.53884 136.50549 -52.45152 7.210 2379 N
04454255-5914507 71.42730 -59.24741 268.78406 -38.98990 7.216 1331 N
10054815-6722407 151.45065 -67.37798 287.98544 -9.44772 7.224 1713 N
20371407+6606203 309.30872 66.10563 100.89578 14.85308 7.226 1424 N
04215882-5658291 65.49509 -56.97475 266.89392 -42.58469 7.232 1041 N
23574982-3235277 359.45761 -32.59103 4.51568 -77.17135 7.243 227 N
12015317-1852379 180.47154 -18.87720 286.96286 42.45281 7.244 1705 N
12200682+2916498 185.02841 29.28050 193.78526 82.77279 7.258 649 N
14324077-4410285 218.16991 -44.17461 321.44281 15.02798 7.258 1233 6
19445619-1447512 296.23416 -14.79758 25.34242 -18.39106 7.258 -57 N
12294887+1325455 187.45366 13.42932 281.61707 75.39861 7.259 2244 N
12484927-4118399 192.20532 -41.31109 302.40359 21.55797 7.259 2958 N
03420155-4713194 55.50647 -47.22208 255.69072 -51.19481 7.264 991 6
11095773-3732216 167.49054 -37.53934 281.57867 21.08892 7.279 3030 6
09191853+6912122 139.82732 69.20334 144.04575 38.04673 7.280 696 N
22550094-3939409 343.75394 -39.66137 358.02139 -62.82985 7.300 1709 6
02414523+0026354 40.43847 0.44318 171.33112 -51.74944 7.319 1006 S
21190024-4833432 319.75104 -48.56201 350.37125 -44.06046 7.319 2285 N
13491520+6011254 207.31334 60.19041 110.27934 55.49506 7.330 1754 N
10134567+0325288 153.44031 3.42467 238.14638 45.52411 7.331 1183 S
23120759-2832227 348.03162 -28.53960 23.44308 -68.03816 7.334 1549 6
10015792+5540480 150.49135 55.68000 157.80977 48.36007 7.341 1116 N
13180505-2650139 199.52112 -26.83722 310.25082 35.65554 7.342 2028 6
12300227+1338112 187.50945 13.63645 281.54553 75.61197 7.353 1355 N
12352642+1429467 188.86012 14.49632 285.69278 76.82951 7.355 486 N
02230456-2114018 35.76904 -21.23385 202.13918 -68.32240 7.356 1485 6
10141509+0327580 153.56291 3.46612 238.20201 45.64732 7.364 1238 N
09230105-3226591 140.75441 -32.44976 259.92227 12.51117 7.365 1664 N
20095408-4822462 302.47531 -48.37955 350.91614 -32.63749 7.370 2855 6
17492651+7008396 267.36047 70.14434 100.57258 30.64091 7.371 25 N
12280389+0948130 187.01622 9.80362 284.17691 71.81902 7.373 532 N
13373206+0853062 204.38362 8.88506 335.92953 68.75030 7.373 1151 N
12274565+1300309 186.94022 13.00859 280.34796 74.83237 7.374 71 N
11525536+3659109 178.23065 36.98635 170.71785 74.19394 7.378 928 N
01430234+1338444 25.75979 13.64568 141.60667 -47.34629 7.380 856 S
06213977-2714014 95.41574 -27.23374 234.85040 -18.13075 7.380 1514 6
12274050+1304444 186.91875 13.07900 280.17807 74.89091 7.385 801 N
01530052-1344192 28.25218 -13.73868 173.01935 -70.35724 7.390 1620 6
12002364-0105598 180.09848 -1.10000 277.37003 59.21467 7.394 1430 6
13214624-2725498 200.44267 -27.43052 311.14828 34.95682 7.396 1815 6
12192326+0549289 184.84692 5.82471 281.80554 67.37234 7.401 2238 N
23182362-4222140 349.59842 -42.37057 348.07797 -65.69610 7.408 1575 N
01591958+1900271 29.83159 19.00754 144.38832 -41.01848 7.414 2472 N
